hour,steel_base_kw,steel_inference_kw,steel_shifted_finetune_kw,office_base_kw,office_inference_kw,office_shifted_finetune_kw
0,25,2,12,205,30,80
1,22,2,12,195,30,80
2,20,2,12,188,30,80
3,20,2,12,185,30,80
4,22,2,12,190,30,80
5,25,2,12,205,30,80
6,35,2,0,260,30,0
7,50,3,0,410,35,0
8,70,5,0,650,50,0
9,120,5,0,790,50,0
10,160,5,0,880,50,0
11,190,5,0,930,50,0
12,150,5,0,900,50,0
13,180,5,0,970,50,0
14,210,5,0,1000,50,0
15,629,5,0,980,50,0
16,190,5,0,910,50,0
17,140,5,0,790,50,0
18,110,4,0,610,45,0
19,75,4,0,440,40,0
20,65,3,0,330,35,0
21,50,3,0,275,30,0
22,40,2,0,240,30,0
23,30,2,0,220,30,0
