parameter_id,category,parameter_name_cn,base_value,low_value,high_value,unit,status,note
R01,physical,商业集团本地AI中心初始投资,30060000,30060000,30060000,RMB,current_model_result,167台双L20含20%附加投资
R02,physical,商业集团本地年直接成本,11402283,11402283,11402283,RMB/year,current_model_result,现有CRF口径仅作无监管对照
R03,physical,商业集团公共云年费用,13195520,13195520,13195520,RMB/year,current_model_result,当前模型选择按量与包月中较低者
R04,market,云价格乘数,0.864,0.6,1.1,multiplier,scenario,约0.864为当前本地与云端直接成本静态交点
R05,market,本地投资乘数,1.0,0.8,1.3,multiplier,scenario,采购和机房投资变化
R06,regulation,本地资产进入有效资产比例,1.0,0.0,1.0,fraction,scenario,不能预设服务器一定合格
R07,regulation,云端费用可资本化比例,0.0,0.0,1.0,fraction,scenario,用于传统不对称与对称处理对照
R08,finance,准许权益收益率,0.08,0.06,0.10,fraction/year,placeholder,正式值按监管辖区替换
R09,finance,实际权益资本成本,0.08,0.06,0.10,fraction/year,placeholder,与准许收益率分开
R10,finance,权益资本比例,0.40,0.30,0.50,fraction,placeholder,中国情景应结合核定资产负债率
R11,regulation,服务器监管折旧年限,6,4,8,year,scenario,技术寿命与监管寿命分开
R12,technology,服务器技术更新周期,4,3,5,year,current_assumption,沿用现有服务器经济寿命
R13,regulation,本地资产不予认可比例,0.0,0.0,0.30,fraction,scenario,审慎性和有效资产风险
R14,regulation,云费用可回收比例,1.0,0.8,1.0,fraction,scenario,据实回收也可能接受效率审查
R15,regulation,成本回收滞后,1,0,3,year,scenario,监管周期和核价时点
R16,regulation,未折旧资产提前替换可继续回收比例,0.5,0.0,1.0,fraction,scenario,搁浅资产处理
R17,finance,准许债务资本成本,0.04,0.03,0.05,fraction/year,placeholder,与准许权益收益率共同构成监管资本回报
R18,finance,实际债务资本成本,0.04,0.03,0.05,fraction/year,placeholder,第一轮令其等于准许债务成本
R19,finance,现值折现率,0.08,0.06,0.10,fraction/year,placeholder,用于十二年筛选期现值比较
R20,regulation,筛选期,12,12,12,year,scenario,覆盖三个四年服务器更新周期
R21,regulation,云监管资产摊销年限,4,3,6,year,scenario,仅用于云费用递延或对称处理情景
