factor_id,range_basis_type,aace_applicability,aace_class_analogy,range_source_interpretation,range_decision,confidence_interpretation,range_ready
PHY01,existing_named_cases,not_applicable,,low_base_high_service_scenarios_in_model_ready_table,use_low_and_high_cases,scenario_envelope_not_confidence_interval,yes
PHY02,evidence_bounded_named_cases,not_applicable,,efficient_base_conservative_compute_conversion_cases,use_efficient_to_conservative,evidence_bounded_scenario_not_hardware_CI,yes
PHY03,structured_named_cases,not_applicable,,conservative_central_flexible_task_SLA_priors,use_all_three_cases,structural_scenario_not_confidence_interval,yes
PHY04,documented_engineering_range,not_applicable,,vendor_GPU_power_plus_server_engineering_envelope,use_1.05_to_1.50_kW,engineering_range_not_CI,yes
PHY05,measurement_plus_proxy_range,not_applicable,,L20_idle_measurement_and_enterprise_server_proxy,use_0.28_to_0.50_kW,proxy_range_not_CI,yes
PHY06,engineering_synthesis_range,not_applicable,,incremental_small_room_facility_multiplier_sources,use_1.20_to_1.60,engineering_range_not_CI,yes
PHY07,engineering_practice_range,not_applicable,,installed_headroom_scenario_0_to_25_percent,use_0_to_0.25,planning_scenario_not_observed_sector_distribution,yes
PHY08,engineering_rule,not_applicable,,N_plus_zero_versus_N_plus_one,use_0_and_1,discrete_reliability_scenario,yes
PHY09,methodological_boundary,not_applicable,,continuous_equivalent_versus_integer_purchase,use_false_and_true,method_sensitivity,yes
PHY10,sourced_cost_proxy_range,aace_crosscheck,Class_4,unit_cost_proxy_without_site_specific_design,use_1_to_5_million_RMB_per_MW,source_range_wider_than_typical_Class_4_accuracy,yes
PHY11,tariff_range,not_applicable,,published_or_curated_demand_charge_cases,use_26.1_to_36.1_RMB_per_kW_month,tariff_scenario_not_CI,yes
PHY12,structural_case,not_applicable,,controlled_no_DER_versus_existing_rooftop_PV_and_battery,use_both_cases,structural_scenario,yes
PHY13,single_time_sample,not_applicable,,only_one_representative_week_currently_available,retain_base_and_research_alternative_weeks,not_a_range,not_yet
COST01,public_quote_range,market_quote_not_EPC,,same_product_public_configuration_range,use_127500_to_258060_RMB_per_server,quote_scenario_not_CI,yes
COST02,company_policy_range,not_applicable,,accounting_useful_life_and_extended_life_case,use_4_to_7_years,policy_and_scenario_range,yes
COST03,engineering_assumption_range,aace_context_only,,maintenance_contract_fraction_assumption,use_0.02_to_0.08,assumption_range_not_AACE_accuracy,yes
COST04,conceptual_EPC_adder_range,aace_crosscheck,Class_5,no_quantity_takeoff_for_local_facility_network_and_software_adder,use_existing_0.10_to_0.35_without_second_AACE_multiplier,source_scenario_already_represents_concept_uncertainty,yes
COST05,multiple_provider_price_cases,market_quote_not_EPC,,no_common_quality_equivalent_discount_multiplier_defined,retain_provider_specific_prices_and_design_common_multiplier,not_a_confidence_interval,not_yet
COST06,engineering_BOM_range,market_quote_not_EPC,,US_complete_server_BOM_proxy_with_integration_allowance,use_44400_to_50800_USD_per_server,BOM_scenario_not_CI,yes
COST07,geographic_observation_range,not_applicable,,US_state_industrial_prices_around_national_average,use_0.0612_to_0.2153_USD_per_kWh,geographic_scenarios_not_national_CI,yes
COST08,official_cloud_price_range,market_quote_not_EPC,,AWS_reserved_payment_options_for_capacity_proxy,use_30948_to_33160_USD_per_year,commercial_price_scenario_not_CI,yes
HW01,structural_named_cases,not_applicable,,gpu_only_practice_routed_cpu_heavy_cases,use_all_three_core_cases,structural_scenario_not_observed_share,yes
HW02,engineering_multiplier_range,not_applicable,,predefined_CPU_time_multiplier_sensitivity,use_0.5_to_4,multiplicative_stress_range_not_CI,yes
HW03,specification_alignment_range,not_applicable,,physical_core_alignment_proxy_around_active_0.25,use_0.125_to_0.5,capacity_equivalence_scenario_not_CI,yes
WAT01,technology_scenario_range,not_applicable,,zero_water_boundary_to_air_cooled_portfolio_upper_proxy,use_0_to_0.329_L_per_kWh_IT,technology_envelope_not_small_room_CI,yes
WAT02,cross_technology_and_transfer_range,not_applicable,,US_low_water_transfer_to_Alibaba_water_cooled_operating_high,use_0.06_to_1.8_L_per_kWh_IT,stress_envelope_not_China_national_CI,yes
WAT03,observed_region_range,not_applicable,,four_AWS_US_region_withdrawal_WUE_values,use_0.06_to_0.39_L_per_kWh_IT,regional_observed_range_not_all_US_cloud_CI,yes
WAT04,single_spatial_proxy,not_applicable,,CAICT_2025_in_use_FP16_capacity_share_proxy,retain_base_and_research_alternative_distribution,not_a_range,not_yet
WAT05,locked_proxy_method,not_applicable,,manufacturing_electricity_share_allocation_proxy,retain_current_method_for_this_round,method_lock_not_uncertainty_range,locked
LAND01,boundary_fraction,not_applicable,,existing_factory_shell_reuse_boundary,use_0_to_1,structural_boundary_not_observed_frequency,yes
LAND02,boundary_fraction,not_applicable,,cloud_existing_capacity_to_full_new_build_boundary,use_0_to_1,structural_boundary_not_observed_frequency,yes
LAND03,single_physical_intensity_proxy,not_applicable,,one_China_project_sample_midpoint_for_GFA_intensity,do_not_apply_AACE_cost_percentage_research_physical_range,not_a_range,not_yet
LAND04,single_physical_intensity_proxy,not_applicable,,one_China_project_proxy_for_site_intensity,do_not_apply_AACE_cost_percentage_research_physical_range,not_a_range,not_yet
MAT01,structural_archetype_cases,not_applicable,,reuse_steel_frame_and_RC_frame_official_project_indicator_proxies,use_all_archetypes_and_report_materials_separately,structural_cases_not_CI,yes
