case,hour,base_kw,ai_inference_kw,pv_kw,battery_kw_positive_discharge,grid_without_der_kw,grid_after_pv_kw,grid_after_pv_battery_kw
steel,0,25,2,0,0,27,27,27
steel,1,22,2,0,0,24,24,24
steel,2,20,2,0,0,22,22,22
steel,3,20,2,0,0,22,22,22
steel,4,22,2,0,0,24,24,24
steel,5,25,2,0,0,27,27,27
steel,6,35,2,5,0,37,32,32
steel,7,50,3,20,0,53,33,33
steel,8,70,5,50,0,75,25,25
steel,9,120,5,90,0,125,35,35
steel,10,160,5,120,-40,165,45,85
steel,11,190,5,140,-60,195,55,115
steel,12,150,5,150,-60,155,5,65
steel,13,180,5,145,-40,185,40,80
steel,14,210,5,120,0,215,95,95
steel,15,629,5,80,100,634,554,454
steel,16,190,5,40,60,195,155,95
steel,17,140,5,10,40,145,135,95
steel,18,110,4,0,0,114,114,114
steel,19,75,4,0,0,79,79,79
steel,20,65,3,0,0,68,68,68
steel,21,50,3,0,0,53,53,53
steel,22,40,2,0,0,42,42,42
steel,23,30,2,0,0,32,32,32
office,0,205,30,0,0,235,235,235
office,1,195,30,0,0,225,225,225
office,2,188,30,0,0,218,218,218
office,3,185,30,0,0,215,215,215
office,4,190,30,0,0,220,220,220
office,5,205,30,0,0,235,235,235
office,6,260,30,30,0,290,260,260
office,7,410,35,100,0,445,345,345
office,8,650,50,220,0,700,480,480
office,9,790,50,350,0,840,490,490
office,10,880,50,470,0,930,460,460
office,11,930,50,550,-160,980,430,590
office,12,900,50,580,-160,950,370,530
office,13,970,50,570,-160,1020,450,610
office,14,1000,50,500,0,1050,550,550
office,15,980,50,400,0,1030,630,630
office,16,910,50,270,80,960,690,610
office,17,790,50,130,220,840,710,490
office,18,610,45,30,180,655,625,445
office,19,440,40,0,0,480,480,480
office,20,330,35,0,0,365,365,365
office,21,275,30,0,0,305,305,305
office,22,240,30,0,0,270,270,270
office,23,220,30,0,0,250,250,250
