hour,office_base_load_kw,human_tasks,workflow_tasks,batch_tasks,llm_calls,input_tokens,output_tokens,l20_gpu_compute_h
0,84.69710020097618,0.0,0.0,33.33333333333333,499.99999999999994,3999999.9999999995,249999.99999999997,2.9513888888888884
1,84.69710020097618,0.0,0.0,33.33333333333333,499.99999999999994,3999999.9999999995,249999.99999999997,2.9513888888888884
2,84.69710020097618,0.0,0.0,33.33333333333333,499.99999999999994,3999999.9999999995,249999.99999999997,2.9513888888888884
3,84.69710020097618,0.0,0.0,33.33333333333333,499.99999999999994,3999999.9999999995,249999.99999999997,2.9513888888888884
4,84.69710020097618,0.0,0.0,33.33333333333333,499.99999999999994,3999999.9999999995,249999.99999999997,2.9513888888888884
5,84.69710020097618,0.0,0.0,33.33333333333333,499.99999999999994,3999999.9999999995,249999.99999999997,2.9513888888888884
6,101.63652024117141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,169.39420040195236,256.0,0.0,0.0,512.0,1024000.0,153600.0,1.0666666666666667
8,271.0307206431238,768.0,40.0,0.0,1936.0,5072000.0,580800.0,4.658333333333333
9,338.7884008039047,1280.0,80.0,0.0,3360.0,9120000.0,1008000.0,8.25
10,338.7884008039047,1536.0,120.0,0.0,4272.0,12144000.0,1281600.0,10.775
11,338.7884008039047,1280.0,120.0,0.0,3760.0,11120000.0,1128000.0,9.708333333333334
12,304.90956072351423,768.0,80.0,0.0,2336.0,7072000.0,700800.0,6.116666666666666
13,338.7884008039047,1152.0,100.0,0.0,3304.0,9608000.0,991200.0,8.445833333333333
14,338.7884008039047,1536.0,120.0,0.0,4272.0,12144000.0,1281600.0,10.775
15,338.7884008039047,1280.0,120.0,0.0,3760.0,11120000.0,1128000.0,9.708333333333334
16,338.7884008039047,1024.0,100.0,0.0,3048.0,9096000.0,914400.0,7.9125
17,304.90956072351423,768.0,70.0,0.0,2236.0,6572000.0,670800.0,5.752083333333333
18,237.15188056273328,512.0,40.0,0.0,1424.0,4048000.0,427200.0,3.591666666666667
19,169.39420040195236,384.0,10.0,0.0,868.0,2036000.0,260400.0,1.9645833333333333
20,135.5153603215619,256.0,0.0,0.0,512.0,1024000.0,153600.0,1.0666666666666667
21,118.57594028136664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,101.63652024117141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,84.69710020097618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
