factor_id,module,parameter_or_scenario,current_mainline,provisional_low,provisional_high,unit,value_type,requires_core_resolve,primary_claims,expected_high_direction,priority_prior,evidence_status,source,author_low,author_high,author_basis,conclusion_risk,status
PHY01,demand,industry_parameter_case,base,low,high,named_case,categorical,yes,"C1;C2;C3;C4",increases_scale,high,existing_model_ready_cases,02_data/processed/effective_service/manufacturing_ai_effective_service_2030.csv,,,,scale_driver,needs_author_confirmation
PHY02,compute,compute_efficiency_case,conservative,efficient,conservative,named_case,categorical,yes,"C1;C2;C3;C4",conservative_increases_compute,high,evidence_bounded_cases,02_data/processed/compute_efficiency/accelerator_h_per_service_unit.csv,,,,scale_driver,needs_author_confirmation
PHY03,flexibility,flexibility_scenario,central,no_shift,central,named_case,categorical,yes,C2,central_flexibility_reduces_peak_vs_no_shift,high,stress_test_boundary,02_data/manufacturing_ai_task_flexibility_mapping.csv,,,,tests_claim_even_when_tasks_cannot_shift,locked_stress_test
PHY04,server_power,server_maximum_wall_power_kw,1.5,1.05,1.5,kW/server,continuous,yes,"C1;C2;C3",higher_increases_peak_energy,high,vendor_spec_engineering_proxy,02_data/distributed_ai_facility_parameters.csv::SRV01,,,,scale_and_grid_driver,needs_author_confirmation
PHY05,server_power,server_online_idle_wall_power_kw,0.36,0.28,0.5,kW/server,continuous,yes,"C1;C2;C3",higher_increases_energy,medium,direct_GPU_plus_server_proxy,02_data/distributed_ai_facility_parameters.csv::SRV03,,,,energy_driver,needs_author_confirmation
PHY06,facility,marginal_facility_multiplier,1.3,1.2,1.6,facility_power/IT_power,continuous,yes,"C1;C2;C3",higher_increases_local_peak_energy,high,engineering_synthesis,02_data/distributed_ai_facility_parameters.csv::PUE04,,,,may_reduce_cost_and_grid_margin,needs_author_confirmation
PHY07,capacity,installed_reserve_fraction,0.15,0,0.50,fraction,continuous,yes,"C1;C2",higher_increases_installed_capacity,high,engineering_assumption,02_data/distributed_ai_facility_parameters.csv::SRV13,,,,discrete_screen_at_0_0.15_0.30_0.50;_especially_important_for_small_sites,author_confirmed
PHY08,capacity,n_plus_spare_server_groups,0,0,1,server_groups,integer,yes,"C1;C2",higher_penalizes_distributed_sites,high,engineering_practice_rule,config/defaults.yaml::server.n_plus_spare_server_groups,,,,N_plus_one_is_structural_sensitivity_not_core,author_confirmed
PHY09,capacity,server_groups_integer,false,false,true,boolean,categorical,yes,"C1;C2",integer_penalizes_small_sites,high,methodological_sensitivity,config/defaults.yaml::model.server_groups_integer,,,,may_reduce_distributed_advantage,needs_author_confirmation
PHY11,grid,maximum_demand_rmb_per_kw_month,36.1,26.1,36.1,RMB/kW-month,continuous,yes,"C1;C2",higher_strengthens_peak_avoidance_incentive,medium,tariff_parameter_range,02_data/china_enterprise_ai_cost_parameters.csv::E05,,,,may_change_dispatch,needs_author_confirmation
PHY12,energy,DER_case,no_DER,no_DER,existing_rooftop_PV_plus_battery,named_case,categorical,yes,"C1;C2",DER_can_reduce_grid_peak,high,existing_structural_sensitivity,config/runs/all_industries_der_sensitivity.yaml,,,,controlled_structural_comparison,needs_author_confirmation
PHY13,time,representative_week_case,GD_2026-05-28_to_06-03,,,named_case,categorical,yes,"C1;C2",unknown,high,single_week_current_boundary,config/defaults.yaml::energy.spot_representative_week,,,,missing_alternative_weeks,needs_research
COST01,cost,china_gpu_server_purchase_cost,150000,127500,258060,RMB/server,continuous,no,C1,higher_reduces_local_cost_advantage,high,public_quote_range,02_data/china_enterprise_ai_cost_parameters.csv::L02,,,,direct_cost_flip_candidate,needs_author_confirmation
COST02,cost,china_server_economic_life_years,5,4,7,years,continuous,no,C1,longer_strengthens_local_advantage,high,company_accounting_policies,config/defaults.yaml::server.economic_life_sensitivity_years,,,,direct_cost_flip_candidate,needs_author_confirmation
COST03,cost,annual_maintenance_fraction,0.05,0.02,0.08,fraction/year,continuous,no,C1,higher_reduces_local_advantage,medium,engineering_assumption,02_data/china_enterprise_ai_cost_parameters.csv::L14,,,,cost_margin_driver,needs_author_confirmation
COST04,cost,facility_capex_fraction,0.2,0.1,0.35,fraction_of_server_capex,continuous,no,C1,higher_reduces_local_advantage,medium,engineering_assumption,02_data/china_enterprise_ai_cost_parameters.csv::L15,,,,cost_margin_driver,needs_author_confirmation
COST05,cost,china_cloud_price_multiplier,1,,,multiplier,continuous,no,C1,higher_strengthens_local_advantage,high,provider_prices_exist_but_common_range_not_defined,02_data/processed/api_token_cost/api_token_prices_v1_1.csv,,,,direct_cost_flip_candidate,needs_design
COST05A,cost,china_local_cpu_server_purchase_cost,90000,60000,118000,RMB/64-core >=256GB complete server,continuous,yes,C1,higher_reduces_local_advantage,high,public_procurement_bounded_matched_spec_proxy,config/compute_hardware/cpu_gpu_routing_v1.yaml::cpu_server.purchase_cost_cases_rmb,,,,base_is_engineering_midpoint;high_is_768GB_configuration,locked_author_decision
COST05B,cost,china_cloud_capacity_delivery_multiplier,1.15,1,1.3,multiplier_of_public_CPU_and_GPU_subscription_prices,continuous,no,C1,higher_strengthens_local_advantage,high,transparent_enterprise_delivery_scenario,config/compute_hardware/cpu_gpu_routing_v1.yaml::cloud_capacity_price_scenarios,,,,excludes_token_API;not_an_observed_enterprise_quote,locked_author_decision
COST06,cost,us_gpu_server_purchase_cost,46500,44400,50800,USD/server,continuous,no,C1,higher_reduces_local_advantage,medium,engineering_BOM_proxy,02_data/processed/cost_benchmark/us_core_cost_parameters_v1.csv::us_server_purchase_usd_per_dual_l20_server,,,,US_cost_margin_driver,needs_author_confirmation
CPU01,cost,us_standardized_cpu_server_purchase_cost,34100,32550,37200,USD/64-core >=256GB complete server,continuous,no,C1,higher_reduces_local_advantage,high,matched_spec_engineering_proxy,02_data/processed/cost_benchmark/us_core_cost_parameters_v1.csv::us_cpu_server_purchase_usd_per_server,,,,replaces_unmatched_32GB_Dell_baseline,locked_matched_spec_proxy_pending_RFQ
COST07,cost,us_industrial_electricity_price,0.0813,0.0612,0.2153,USD/kWh,continuous,no,C1,higher_reduces_local_advantage,medium,geographic_scenarios_not_confidence_bounds,02_data/processed/cost_benchmark/us_core_cost_parameters_v1.csv::us_industrial_all_in_usd_per_kwh,,,,label_as_geographic_scenario,needs_author_confirmation
COST08,cost,us_cloud_reserved_gpu_price,30948,30948,33160,USD/year,continuous,no,C1,higher_strengthens_local_advantage,medium,official_AWS_price_proxy,02_data/processed/cost_benchmark/us_core_cost_parameters_v1.csv::us_cloud_reserved_usd_per_dual_l20_instance_year,,,,narrow_current_range,needs_author_confirmation
HW01,hardware,CPU_GPU_routing_case,practice_routed,gpu_only,cpu_heavy,named_case,categorical,yes,"C1;C2;C3",more_CPU_changes_capacity_and_cost,high,structural_scenario_not_observed_share,config/compute_hardware/cpu_gpu_routing_v1.yaml,,,,must_report_as_structural,needs_author_confirmation
HW02,hardware,CPU_service_time_multiplier,1,0.5,4,multiplier,continuous,yes,"C1;C2;C3",higher_reduces_CPU_route_advantage,high,engineering_sensitivity,config/compute_hardware/cpu_gpu_routing_v1.yaml::sensitivity_only_cpu_time_multipliers,,,,direct_cost_flip_candidate,needs_author_confirmation
HW03,hardware,china_cloud_CPU_capacity_relative_to_local,0.25,0.125,0.5,fraction,continuous,no,C1,higher_strengthens_cloud,high,specification_alignment_proxy,config/compute_hardware/cpu_gpu_routing_v1.yaml::cloud_cpu.service_capacity_relative_to_local_server,,,,direct_cost_flip_candidate,needs_author_confirmation
WAT01,water,local_site_WUE,0.05,0,0.329,L/kWh-IT,continuous,no,C3,higher_reduces_local_water_advantage,high,technology_scenario_not_observed_average,02_data/processed/resource_footprint/resource_footprint_water_scenarios.csv::small,,,,can_flip_against_low_water_cloud,needs_author_confirmation
WAT02,water,china_cloud_site_WUE,0.335,0.06,1.8,L/kWh-IT,continuous,no,C3,higher_strengthens_local_water_advantage,high,transferred_low_and_provider_operating_high,02_data/china_manufacturing_ai_water_cooling_noise_space_report.md,,,,can_flip_against_high_water_local,needs_author_confirmation
WAT03,water,us_cloud_withdrawal_WUE,0.335,0.06,0.39,L/kWh-IT,continuous,no,C3,higher_strengthens_local_water_advantage,high,AWS_US_region_range_plus_harmonized_mainline,02_data/china_us_hyperscale_cloud_physical_parameters_report.md,,,,mainline_base_differs_from_US_sample_median,needs_author_confirmation
WAT04,spatial,cloud_province_allocation_case,CAICT2025_in_use_FP16_capacity_proxy,,,named_case,categorical,no,C3,unknown,high,single_proxy_distribution,02_data/processed/resource_footprint/china_province_cloud_ai_capacity_share_caict2025.csv,,,,scarcity_weighted_result_driver,needs_research
WAT05,spatial,manufacturing_province_allocation_case,electricity_share_proxy,,,named_case,categorical,no,C3,unknown,medium,current_locked_allocation_proxy,02_data/processed/resource_footprint/province_industry_ai_allocation.csv,,,,scarcity_weighted_result_driver,locked_current_method
LAND01,land,local_existing_building_reuse_fraction,1,0,1,fraction,continuous,no,C4,higher_strengthens_local_land_advantage,high,boundary_scenario,02_data/raw/curated/resource_footprint_space_scenarios.csv::SMALL_FACTORY_REUSE,,,,claim_is_conditional_on_reuse,needs_author_confirmation
